Site,Subsample number,Height,Hits
Broomer_Exclosure,2,130,1
Broomer_Exclosure,2,150,0
Broomer_Exclosure,2,170,0
Broomer_Exclosure,2,190,0
Broomer_Exclosure,2,210,0
Broomer_Exclosure,2,230,0
Broomer_Exclosure,2,250,0
Broomer_Exclosure,2,270,0
Broomer_Exclosure,2,290,0
Broomer_Exclosure,2,310,0
Broomer_Exclosure,3,10,5
Broomer_Exclosure,3,30,3
Broomer_Exclosure,3,50,1
Broomer_Exclosure,3,70,4
Broomer_Exclosure,3,90,0
Broomer_Exclosure,3,110,0
Broomer_Exclosure,3,130,0
Broomer_Exclosure,3,150,0
Broomer_Exclosure,3,170,0
Broomer_Exclosure,3,190,0
Broomer_Exclosure,3,210,0
Broomer_Exclosure,3,230,0
Broomer_Exclosure,3,250,0
Broomer_Exclosure,3,270,0
Broomer_Exclosure,3,290,0
Broomer_Exclosure,3,310,0
Broomer_Exclosure,4,10,5
Broomer_Exclosure,4,30,4
Broomer_Exclosure,4,50,4
Broomer_Exclosure,4,70,0
Broomer_Exclosure,4,90,0
Broomer_Exclosure,4,110,1
Broomer_Exclosure,4,130,0
Broomer_Exclosure,4,150,0
Broomer_Exclosure,4,170,4
Broomer_Exclosure,4,190,3
Broomer_Exclosure,4,210,4
Broomer_Exclosure,4,230,1
Broomer_Exclosure,4,250,3
Broomer_Exclosure,4,270,2
Broomer_Exclosure,4,290,1
Broomer_Exclosure,4,310,0
Broomer_Exclosure,5,10,7
Broomer_Exclosure,5,30,0
Broomer_Exclosure,5,50,0
Broomer_Exclosure,5,70,0
Broomer_Exclosure,5,90,0
Broomer_Exclosure,5,110,0
Broomer_Exclosure,5,130,3
Broomer_Exclosure,5,150,4
Broomer_Exclosure,5,170,6
Broomer_Exclosure,5,190,7
Broomer_Exclosure,5,210,5
Broomer_Exclosure,5,230,5
Broomer_Exclosure,5,250,6
Broomer_Exclosure,5,270,4
Broomer_Exclosure,5,290,5
Broomer_Exclosure,5,310,4
Oaklands_Exclosure,1,10,5
Oaklands_Exclosure,1,30,1
Oaklands_Exclosure,1,50,0
Oaklands_Exclosure,1,70,0
Oaklands_Exclosure,1,90,0
Oaklands_Exclosure,1,110,0
Oaklands_Exclosure,1,130,0
Oaklands_Exclosure,1,150,0
Oaklands_Exclosure,1,170,2
Oaklands_Exclosure,1,190,2
Oaklands_Exclosure,1,210,3
Oaklands_Exclosure,1,230,5
Oaklands_Exclosure,1,250,0
Oaklands_Exclosure,1,270,0
Oaklands_Exclosure,1,290,3
Oaklands_Exclosure,1,310,5
Oaklands_Exclosure,2,10,7
Oaklands_Exclosure,2,30,5
Oaklands_Exclosure,2,50,6
Oaklands_Exclosure,2,70,2
Oaklands_Exclosure,2,90,3
Oaklands_Exclosure,2,110,2
Oaklands_Exclosure,2,130,8
Oaklands_Exclosure,2,150,0
Oaklands_Exclosure,2,170,5
Oaklands_Exclosure,2,190,3
Oaklands_Exclosure,2,210,3
Oaklands_Exclosure,2,230,2
Oaklands_Exclosure,2,250,0
Oaklands_Exclosure,2,270,1
Oaklands_Exclosure,2,290,1
Oaklands_Exclosure,2,310,2
Oaklands_Exclosure,3,10,5
Oaklands_Exclosure,3,30,4
Oaklands_Exclosure,3,50,3
Oaklands_Exclosure,3,70,4
Oaklands_Exclosure,3,90,3
Oaklands_Exclosure,3,110,6
Oaklands_Exclosure,3,130,4
Oaklands_Exclosure,3,150,7
Oaklands_Exclosure,3,170,5
Oaklands_Exclosure,3,190,4
Oaklands_Exclosure,3,210,2
Oaklands_Exclosure,3,230,6
Oaklands_Exclosure,3,250,3
Oaklands_Exclosure,3,270,1
Oaklands_Exclosure,3,290,4
Oaklands_Exclosure,3,310,3
Oaklands_Exclosure,4,10,5
Oaklands_Exclosure,4,30,3
Oaklands_Exclosure,4,50,4
Oaklands_Exclosure,4,70,2
Oaklands_Exclosure,4,90,2
Oaklands_Exclosure,4,110,2
Oaklands_Exclosure,4,130,3
Oaklands_Exclosure,4,150,0
Oaklands_Exclosure,4,170,0
Oaklands_Exclosure,4,190,0
Oaklands_Exclosure,4,210,0
Oaklands_Exclosure,4,230,0
Oaklands_Exclosure,4,250,0
Oaklands_Exclosure,4,270,0
Oaklands_Exclosure,4,290,0
Oaklands_Exclosure,4,310,0
Oaklands_Exclosure,5,10,4
Oaklands_Exclosure,5,30,4
Oaklands_Exclosure,5,50,5
Oaklands_Exclosure,5,70,3
Oaklands_Exclosure,5,90,2
Oaklands_Exclosure,5,110,4
Oaklands_Exclosure,5,130,0
Oaklands_Exclosure,5,150,2
Oaklands_Exclosure,5,170,1
Oaklands_Exclosure,5,190,0
Oaklands_Exclosure,5,210,0
Oaklands_Exclosure,5,230,0
Oaklands_Exclosure,5,250,0
Oaklands_Exclosure,5,270,0
Oaklands_Exclosure,5,290,0
Oaklands_Exclosure,5,310,0
Oaklands_Control,1,10,7
Oaklands_Control,1,30,4
Oaklands_Control,1,50,1
Oaklands_Control,1,70,0
Oaklands_Control,1,90,0
Oaklands_Control,1,110,0
Oaklands_Control,1,130,0
Oaklands_Control,1,150,0
Oaklands_Control,1,170,0
Oaklands_Control,1,190,0
Oaklands_Control,1,210,0
Oaklands_Control,1,230,0
Oaklands_Control,1,250,0
Oaklands_Control,1,270,0
Oaklands_Control,1,290,0
Oaklands_Control,1,310,0
Oaklands_Control,2,10,10
Oaklands_Control,2,30,3
Oaklands_Control,2,50,0
Oaklands_Control,2,70,0
Oaklands_Control,2,90,0
Oaklands_Control,2,110,0
Oaklands_Control,2,130,0
Oaklands_Control,2,150,0
Oaklands_Control,2,170,0
Oaklands_Control,2,190,0
Oaklands_Control,2,210,0
Oaklands_Control,2,230,0
Oaklands_Control,2,250,0
Oaklands_Control,2,270,0
Oaklands_Control,2,290,0
Oaklands_Control,2,310,0
Oaklands_Control,3,10,5
Oaklands_Control,3,30,3
Oaklands_Control,3,50,1
Oaklands_Control,3,70,0
